id,report_title,issuing_organization,attack_campaign,url_or_document_identifier,selection_rationale,sha256
CTI-01,"Early Bird Catches the Wormhole: Observations from the StellarParticle Campaign","CrowdStrike","StellarParticle; COZY BEAR/APT29; SolarWinds/SUNSPOT-related","https://www.crowdstrike.com/en-us/blog/observations-from-the-stellarparticle-campaign/","Complex supply-chain and cloud-identity intrusion with credential hopping, MFA bypass, O365 abuse, and multiple malware families.","47ee9473986c45d58e0a041b10ed1a56aed0f22caa15dfd2e55fdc8b7001fd1a"
CTI-02,"Asylum Ambuscade: State Actor Uses Compromised Private Ukrainian Military Emails to Target European Governments and Refugee Movement","Proofpoint","Asylum Ambuscade; possible TA445/UNC1151-related activity","https://www.proofpoint.com/uk/blog/threat-insight/asylum-ambuscade-state-actor-uses-compromised-private-ukrainian-military-emails","Clearly documented phishing chain using a compromised military mailbox, a macro-enabled spreadsheet, and SunSeed malware.","7ca0553d100b7c9b407faa195340a4149b5fe89d752e13a38e040fa99e1a1734"
CTI-03,"BRONZE PRESIDENT Targets Government Officials","Secureworks Counter Threat Unit","BRONZE PRESIDENT PlugX campaign","https://www.secureworks.com/blog/bronze-president-targets-government-officials; preserved PDF ID 0903ff6d3b598d56dc8806ebcbd48aa27a1f5df4","Government-focused espionage chain with spear phishing, PlugX, persistence, infrastructure, and attribution evidence.","af8899f2ad42a89b7876c77e5d3dd7f6b638cb177b4a855d04dbdb558d7da282"
CTI-04,"SK Hack by an Advanced Persistent Threat","Command Five Pty Ltd","July 2011 SK Communications intrusion (SK Hack); unnamed actor","https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2013/04/20082912/C5_APT_SKHack.pdf; C5_APT_SKHack.pdf","Early software-update supply-chain compromise leading to database access and large-scale theft of CyWorld and Nate user information.","5c3e2df657d16062ea59791a2d330c08fda778d31e1e7e7fbfae51be74705446"
CTI-05,"Bitter APT Adds Bangladesh to Their Targets","Cisco Talos","Bitter APT/T-APT-17 Bangladesh campaign","https://blog.talosintelligence.com/bitter-apt-adds-bangladesh-to-their/","South Asian government-targeting campaign with weaponized RTF/XLS documents, Office CVEs, shellcode, downloaders, and RAT behavior.","72d4b98982d89b28962b64642f95fba5d73b5f114dc6dd1daa2e945a6bd8d29a"
CTI-06,"Iranian APT MuddyWater Targets Turkish Users via Malicious PDFs, Executables","Cisco Talos","MuddyWater campaign targeting Turkish organizations","https://blog.talosintelligence.com/iranian-apt-muddywater-targets-turkey/","Heterogeneous initial-access artifacts, PowerShell downloaders, canary tokens, and attributed Iranian espionage activity.","92adb88cde460193abd63ce6942b82dacdd0ed1ba9a5635d6d50b3805dc71b6f"
CTI-07,"Iron Tiger Compromises Chat Application MiMi, Targets Windows, Mac, and Linux Users","Trend Micro","Iron Tiger/APT27 MiMi supply-chain compromise","https://www.trendmicro.com/en_us/research/22/h/irontiger-compromises-chat-app-Mimi-targets-windows-mac-linux-users.html","Cross-platform supply-chain attack delivering HyperBro and rshell through legitimate chat-application infrastructure.","33987e302441f7bb4c542544dbabff1fa00dccac7bbab926c300203261155c60"
CTI-08,"MoonBounce: The Dark Side of UEFI Firmware","Kaspersky GReAT / Securelist","MoonBounce UEFI implant operation; connected to APT41","https://securelist.com/moonbounce-the-dark-side-of-uefi-firmware/105468/; article ID 105468","Firmware-level persistence and a technically distinct chain spanning UEFI, user-mode staging, malware, and C2.","ea7e3eb7ff4e0d4e26f81d2472c2476f30e7107c4287f417cdd1836c017b3954"
CTI-09,"Mustang Panda’s Hodur: Old Tricks, New Korplug Variant","ESET Research / WeLiveSecurity","Mustang Panda Hodur campaign","https://www.welivesecurity.com/2022/03/23/mustang-panda-hodur-old-tricks-new-korplug-variant/","Well-scoped spear-phishing and custom-loader chain deploying a previously undocumented Korplug variant.","ec6d744ac06b1c23714761c2f25dbf2767d7cb1f4ece7d19a1bf56d2d41d4602"
CTI-10,"New Milestones for Deep Panda: Log4Shell and Digitally Signed Fire Chili Rootkits","Fortinet FortiGuard Labs","Deep Panda Log4Shell campaign; Milestone and Fire Chili","https://www.fortinet.com/blog/threat-research/deep-panda-log4shell-fire-chili-rootkits","Exploit-to-rootkit chain linking CVE-2021-44228, a backdoor, signed kernel rootkit, certificate abuse, and attribution.","5c9c73de770b491c8ae1088a6d1fb5394c694e5b7e1fdd5eab51de7255a4ad7b"
CTI-11,"North Korea’s Lazarus APT Leverages Windows Update Client, GitHub in Latest Campaign","Malwarebytes Threat Intelligence","Lazarus job-opportunity spear-phishing campaign","https://www.malwarebytes.com/blog/threat-intelligence/2022/01/north-koreas-lazarus-apt-leverages-windows-update-client-github-in-latest-campaign","Malicious-document chain with unusual abuse of the Windows Update client for execution and GitHub for C2.","9d030af0c272b28e0a87f6081e81c80bb75cd5f2225bfb0c5564fb644f9372bd"
CTI-12,"Prime Minister’s Office Compromised: Details of Recent Espionage Campaign","Trellix Advanced Threat Research","Graphite/Empire espionage campaign; moderately associated with APT28","https://www.trellix.com/blogs/research/prime-ministers-office-compromised/","Multi-stage chain combining CVE-2021-40444, Excel, Graphite, Microsoft Graph/OneDrive C2, COM hijacking, and Empire.","ec2e38dbf8d3399ca49e5a59602f2216aff55150c5a88c64b7497f6af302b1d8"
CTI-13,"Shuckworm: Espionage Group Continues Intense Campaign Against Ukraine","Symantec Threat Hunter Team","Shuckworm/Gamaredon/Armageddon Ukraine campaign","https://www.security.com/threat-intelligence/shuckworm-intense-campaign-ukraine","High-frequency regional espionage with repeated Pterodo deployment and legitimate administration and diagnostic utilities.","82622d7482a16bbe4954f8284c82b5c01c4092da71bb8ef75e29a6a86ece9711"
CTI-14,"Stuxnet Under the Microscope","ESET","Stuxnet operation targeting Siemens industrial-control environments","https://web-assets.esetstatic.com/wls/en/papers/white-papers/Stuxnet_Under_the_Microscope.pdf; Stuxnet_Under_the_Microscope.pdf","Canonical ICS case with multiple exploits, propagation, rootkit behavior, Siemens/SCADA targeting, and a detailed timeline.","dbb6bcbbc8a0b05f9fa4e0b70a7ebe80b4d5f68e918d5e11f2d67db69c7a7f75"
CTI-15,"The Nitro Attacks: Stealing Secrets from the Chemical Industry","Symantec Security Response","Nitro targeted-attack campaign","https://scadahacker.com/library/Documents/Cyber_Events/Symantec%20-%20The%20Nitro%20Attacks.pdf; The Nitro Attacks","Industrial espionage with targeted email, PoisonIvy, credential theft, lateral movement, staging, and exfiltration.","eebe884304e69c2b4bae34cb76c8ed8bcb073e5d8e46fa1456d488d4a8ba91d9"
