cve_id,description,product,platform,affected_version_range,vulnerability_type,precondition,postcondition
CVE-2017-7279,"An unprivileged user of the Unitrends Enterprise Backup before 9.0.0 web server can escalate to root privileges by modifying the ""token"" cookie issued at login.",unitrends,Unitrends Enterprise Backup,< 9.0.0,Privilege Escalation,Authenticated unprivileged user access,Root privileges
CVE-2017-7280,An issue was discovered in api/includes/systems.php in Unitrends Enterprise Backup before 9.0.0. User input is not properly filtered before being sent to a popen function. This allows for remote code execution by sending a specially crafted user variable.,unitrends,Unitrends Enterprise Backup,< 9.0.0,Remote Code Execution (RCE),Network access to API endpoint,Remote code execution (web server privileges)
CVE-2017-7281,"An issue was discovered in Unitrends Enterprise Backup before 9.1.2. A lack of sanitization of user input in the createReportName and saveReport functions in recoveryconsole/bpl/reports.php allows for an authenticated user to create a randomly named file on disk with a user-controlled extension, contents, and path, leading to remote code execution, aka Unrestricted File Upload.",unitrends,Unitrends Enterprise Backup,< 9.1.2,Unrestricted File Upload / RCE,Authenticated user access,Remote code execution (web server privileges)
CVE-2017-7284,An attacker that has hijacked a Unitrends Enterprise Backup (before 9.1.2) web server session can leverage api/includes/users.php to change the password of the logged in account without knowing the current password. This allows for an account takeover.,unitrends,Unitrends Enterprise Backup,< 9.1.2,Account Takeover,Hijacked web session (authenticated session),Account takeover (privileges of hijacked account)
CVE-2017-7282,"An issue was discovered in Unitrends Enterprise Backup before 9.1.1. The function downloadFile in api/includes/restore.php blindly accepts any filename passed to /api/restore/download as valid. This allows an authenticated attacker to read any file in the filesystem that the web server has access to, aka Local File Inclusion (LFI).",unitrends,Unitrends Enterprise Backup,< 9.1.1,Local File Inclusion (LFI),Authenticated user access to API,Arbitrary file read (web server privileges)
CVE-2017-7283,"An authenticated user of Unitrends Enterprise Backup before 9.1.2 can execute arbitrary OS commands by sending a specially crafted filename to the /api/restore/download-files endpoint, related to the downloadFiles function in api/includes/restore.php.",unitrends,Unitrends Enterprise Backup,< 9.1.2,Remote Code Execution (RCE),Authenticated user access to API,Arbitrary OS command execution (web server privileges)
CVE-2017-12477,"It was discovered that the bpserverd proprietary protocol in Unitrends Backup (UB) before 10.0.0, as invoked through xinetd, has an issue in which its authentication can be bypassed. A remote attacker could use this issue to execute arbitrary commands with root privilege on the target system.",unitrends,Unitrends Backup (UB),< 10.0.0,Authentication Bypass / RCE,Network access to bpserverd protocol (xinetd service),Root RCE
CVE-2017-12478,It was discovered that the api/storage web interface in Unitrends Backup (UB) before 10.0.0 has an issue in which one of its input parameters was not validated. A remote attacker could use this flaw to bypass authentication and execute arbitrary commands with root privilege on the target system.,unitrends,Unitrends Backup (UB),< 10.0.0,Authentication Bypass / RCE,Network access to /api/storage endpoint,Root RCE
CVE-2017-12479,It was discovered that an issue in the session logic in Unitrends Backup (UB) before 10.0.0 allowed using the LOGDIR environment variable during a web session to elevate an existing low-privilege user to root privileges. A remote attacker with existing low-privilege credentials could then execute arbitrary commands with root privileges.,unitrends,Unitrends Backup (UB),< 10.0.0,Privilege Escalation,Authenticated low-privilege user access,Root RCE
CVE-2018-6328,"It was discovered that the Unitrends Backup (UB) before 10.1.0 user interface was exposed to an authentication bypass, which then could allow an unauthenticated user to inject arbitrary commands into its /api/hosts parameters using backquotes.",unitrends,Unitrends Backup (UB),< 10.1.0,Authentication Bypass / Command Injection,Network access to web interface /api/hosts,Unauthenticated RCE (web server privileges)
